Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-02-01,136.41,137.78,134.81,135.56,135.56,154552000,AAPL
2020-02-02,135.65,136.27,133.57,134.65,134.65,118141000,AAPL
2020-02-03,135.95,136.27,134.74,135.71,135.71,124563000,AAPL
2020-02-04,136.41,136.91,134.88,136.76,136.76,102243000,AAPL
2020-02-05,137.05,137.42,135.39,136.91,136.91,96321000,AAPL
2020-02-06,137.00,137.59,135.80,136.76,136.76,98765432,AAPL
2020-02-07,136.87,137.75,136.22,137.58,137.58,87654321,AAPL
2020-02-08,137.71,138.24,136.41,137.03,137.03,76543210,AAPL
2020-02-09,137.60,138.69,136.51,138.58,138.58,109876543,AAPL
2020-02-10,138.89,139.58,137.79,138.84,138.84,98765432,AAPL
2020-02-11,138.96,139.37,138.12,138.59,138.59,87654321,AAPL
2020-02-12,138.55,139.02,137.99,138.12,138.12,76543210,AAPL
2020-02-13,138.08,139.44,137.94,139.25,139.25,109876543,AAPL
2020-02-14,139.36,140.45,139.11,139.94,139.94,98765432,AAPL
2020-02-15,140.15,140.85,139.72,140.48,140.48,87654321,AAPL
2020-02-16,140.75,141.39,140.05,140.75,140.75,76543210,AAPL
2020-02-17,140.80,141.41,140.36,141.02,141.02,109876543,AAPL
2020-02-18,141.05,141.57,140.58,141.43,141.43,98765432,AAPL
2020-02-19,141.45,142.00,141.02,141.24,141.24,87654321,AAPL
2020-02-20,141.32,141.95,140.77,141.49,141.49,76543210,AAPL
2020-02-21,141.62,142.18,141.05,141.86,141.86,109876543,AAPL
2020-02-22,141.78,142.56,141.27,142.45,142.45,98765432,AAPL
2020-02-23,142.25,142.87,141.52,142.66,142.66,87654321,AAPL
2020-02-24,142.65,143.32,142.01,142.89,142.89,76543210,AAPL
2020-02-25,143.02,143.18,141.96,142.47,142.47,109876543,AAPL
2020-02-26,142.51,143.12,142.25,142.79,142.79,98765432,AAPL
2020-02-27,142.95,143.42,142.29,143.21,143.21,87654321,AAPL
2020-02-28,143.30,143.56,142.42,143.24,143.24,76543210,AAPL
