Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-01-01,138.05,139.48,135.99,137.56,137.56,123432000,AAPL
2020-01-02,139.00,141.25,137.78,140.34,140.34,98765432,AAPL
2020-01-03,140.85,142.00,139.33,141.45,141.45,112345678,AAPL
2020-01-04,142.26,144.44,141.39,143.05,143.05,145678901,AAPL
2020-01-05,143.78,144.18,142.22,143.43,143.43,98765432,AAPL
2020-01-06,143.65,145.09,143.08,144.67,144.67,87654321,AAPL
2020-01-07,145.10,146.85,144.94,146.56,146.56,109876543,AAPL
2020-01-08,146.87,147.19,145.69,146.70,146.70,76543210,AAPL
2020-01-09,146.89,147.20,146.01,146.55,146.55,65432109,AAPL
2020-01-10,145.85,146.14,143.96,144.98,144.98,54321098,AAPL
2020-01-11,144.41,145.69,143.50,144.29,144.29,98765432,AAPL
2020-01-12,144.79,145.84,143.73,144.74,144.74,87654321,AAPL
2020-01-13,145.49,146.73,145.25,146.42,146.42,109876543,AAPL
2020-01-14,146.54,147.11,145.48,146.11,146.11,76543210,AAPL
2020-01-15,146.50,147.09,145.75,146.80,146.80,65432109,AAPL
2020-01-16,146.87,147.28,146.02,147.18,147.18,54321098,AAPL
2020-01-17,147.32,148.02,146.69,147.88,147.88,98765432,AAPL
2020-01-18,148.00,149.25,147.71,148.96,148.96,87654321,AAPL
2020-01-19,149.20,150.29,148.77,150.22,150.22,109876543,AAPL
2020-01-20,150.24,151.02,149.78,150.75,150.75,76543210,AAPL
2020-01-21,150.80,151.42,150.01,151.12,151.12,65432109,AAPL
2020-01-22,151.23,152.44,150.79,152.20,152.20,54321098,AAPL
2020-01-23,152.11,153.34,151.67,153.01,153.01,98765432,AAPL
2020-01-24,153.23,154.12,152.70,153.78,153.78,87654321,AAPL
2020-01-25,154.15,154.59,153.02,153.24,153.24,109876543,AAPL
2020-01-26,153.98,155.04,153.51,154.50,154.50,76543210,AAPL
2020-01-27,154.30,155.21,154.01,154.82,154.82,65432109,AAPL
2020-01-28,154.89,155.48,154.39,155.13,155.13,54321098,AAPL
2020-01-29,155.22,156.15,154.77,155.89,155.89,98765432,AAPL
2020-01-30,156.00,156.58,155.20,156.14,156.14,87654321,AAPL
2020-01-31,156.19,157.05,155.86,156.79,156.79,109876543,AAPL
