Date,Open,High,Low,Close,Adj Close,Volume,Name
2022-07-01,134.44,136.49,133.57,135.28,135.28,102243000,AAPL
2022-07-02,135.50,136.18,134.35,135.62,135.62,98765432,AAPL
2022-07-03,135.65,136.20,134.80,135.80,135.80,87654321,AAPL
2022-07-04,135.75,136.30,134.95,135.98,135.98,76543210,AAPL
2022-07-05,136.00,136.55,135.20,136.15,136.15,109876543,AAPL
2022-07-06,136.20,136.75,135.40,136.33,136.33,98765432,AAPL
2022-07-07,136.40,136.95,135.60,136.50,136.50,87654321,AAPL
2022-07-08,136.55,137.10,135.75,136.68,136.68,76543210,AAPL
2022-07-09,136.70,137.25,135.90,136.85,136.85,109876543,AAPL
2022-07-10,136.90,137.45,136.10,137.03,137.03,98765432,AAPL
2022-07-11,137.05,137.60,136.25,137.20,137.20,87654321,AAPL
2022-07-12,137.25,137.80,136.45,137.38,137.38,76543210,AAPL
2022-07-13,137.40,137.95,136.60,137.55,137.55,109876543,AAPL
2022-07-14,137.60,138.15,136.80,137.73,137.73,98765432,AAPL
2022-07-15,137.75,138.30,136.95,137.90,137.90,87654321,AAPL
2022-07-16,137.95,138.50,137.15,138.08,138.08,76543210,AAPL
2022-07-17,138.10,138.65,137.30,138.25,138.25,109876543,AAPL
2022-07-18,138.30,138.85,137.50,138.43,138.43,98765432,AAPL
2022-07-19,138.45,139.00,137.65,138.60,138.60,87654321,AAPL
2022-07-20,138.65,139.20,137.85,138.78,138.78,76543210,AAPL
2022-07-21,138.80,139.35,138.00,138.95,138.95,109876543,AAPL
2022-07-22,139.00,139.55,138.20,139.13,139.13,98765432,AAPL
2022-07-23,139.15,139.70,138.35,139.30,139.30,87654321,AAPL
2022-07-24,139.35,139.90,138.55,139.48,139.48,76543210,AAPL
2022-07-25,139.50,140.05,138.70,139.65,139.65,109876543,AAPL
2022-07-26,139.70,140.25,138.90,139.83,139.83,98765432,AAPL
2022-07-27,139.85,140.40,139.05,140.00,140.00,87654321,AAPL
2022-07-28,140.05,140.60,139.25,140.18,140.18,76543210,AAPL
2022-07-29,140.20,140.75,139.40,140.35,140.35,65432109,AAPL
2022-07-30,140.40,140.95,139.60,140.53,140.53,54321098,AAPL
2022-07-31,140.55,141.10,139.75,140.70,140.70,43210987,AAPL
