Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-06-01,136.47,137.37,134.68,135.57,135.57,118141000,AAPL
2020-06-02,135.69,136.18,134.55,135.92,135.92,109876543,AAPL
2020-06-03,136.00,136.45,135.22,136.10,136.10,98765432,AAPL
2020-06-04,136.20,136.75,135.50,136.28,136.28,87654321,AAPL
2020-06-05,136.35,136.80,135.55,136.45,136.45,76543210,AAPL
2020-06-06,136.50,136.95,135.70,136.60,136.60,65432109,AAPL
2020-06-07,136.60,137.05,135.80,136.78,136.78,54321098,AAPL
2020-06-08,136.80,137.25,136.00,136.95,136.95,43210987,AAPL
2020-06-09,136.98,137.45,136.20,137.12,137.12,32109876,AAPL
2020-06-10,137.15,137.60,136.35,137.30,137.30,21098765,AAPL
2020-06-11,137.35,137.80,136.55,137.48,137.48,109876543,AAPL
2020-06-12,137.50,137.95,136.70,137.65,137.65,98765432,AAPL
2020-06-13,137.68,138.15,136.90,137.82,137.82,87654321,AAPL
2020-06-14,137.85,138.30,137.05,138.00,138.00,76543210,AAPL
2020-06-15,138.05,138.50,137.25,138.18,138.18,65432109,AAPL
2020-06-16,138.20,138.65,137.40,138.35,138.35,54321098,AAPL
2020-06-17,138.40,138.85,137.60,138.52,138.52,43210987,AAPL
2020-06-18,138.55,139.00,137.75,138.70,138.70,32109876,AAPL
2020-06-19,138.70,139.15,137.90,138.88,138.88,21098765,AAPL
2020-06-20,138.95,139.40,138.15,139.05,139.05,109876543,AAPL
2020-06-21,139.10,139.55,138.30,139.22,139.22,98765432,AAPL
2020-06-22,139.25,139.70,138.45,139.40,139.40,87654321,AAPL
2020-06-23,139.45,139.90,138.65,139.57,139.57,76543210,AAPL
2020-06-24,139.60,140.05,138.80,139.75,139.75,65432109,AAPL
2020-06-25,139.80,140.25,139.00,139.92,139.92,54321098,AAPL
2020-06-26,139.95,140.40,139.15,140.10,140.10,43210987,AAPL
2020-06-27,140.15,140.60,139.35,140.27,140.27,32109876,AAPL
2020-06-28,140.30,140.75,139.50,140.45,140.45,21098765,AAPL
2020-06-29,140.50,140.95,139.70,140.62,140.62,109876543,AAPL
2020-06-30,140.65,141.10,139.85,140.80,140.80,98765432,AAPL
