Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-03-01,133.76,135.77,132.59,135.54,135.54,112852000,AAPL
2020-03-02,135.67,136.42,134.63,135.62,135.62,98765432,AAPL
2020-03-03,135.53,136.60,134.74,135.86,135.86,87654321,AAPL
2020-03-04,136.35,136.86,134.80,135.42,135.42,76543210,AAPL
2020-03-05,135.50,136.10,134.28,135.90,135.90,109876543,AAPL
2020-03-06,136.05,136.79,135.51,136.68,136.68,98765432,AAPL
2020-03-07,136.79,137.45,136.06,137.29,137.29,87654321,AAPL
2020-03-08,137.11,138.20,136.81,137.93,137.93,76543210,AAPL
2020-03-09,138.22,139.11,137.83,138.05,138.05,109876543,AAPL
2020-03-10,138.25,138.85,137.39,137.60,137.60,98765432,AAPL
2020-03-11,137.60,138.29,137.02,138.14,138.14,87654321,AAPL
2020-03-12,138.15,139.28,137.86,139.12,139.12,76543210,AAPL
2020-03-13,139.00,139.55,137.80,138.28,138.28,109876543,AAPL
2020-03-14,138.35,138.97,137.60,138.65,138.65,98765432,AAPL
2020-03-15,138.70,139.43,138.01,139.28,139.28,87654321,AAPL
2020-03-16,139.38,140.15,138.95,139.98,139.98,76543210,AAPL
2020-03-17,139.84,140.32,139.13,139.57,139.57,109876543,AAPL
2020-03-18,139.48,140.02,138.66,139.78,139.78,98765432,AAPL
2020-03-19,139.81,140.36,139.00,139.24,139.24,87654321,AAPL
2020-03-20,139.20,139.88,138.82,139.48,139.48,76543210,AAPL
2020-03-21,139.61,140.20,139.05,139.92,139.92,109876543,AAPL
2020-03-22,139.97,140.62,139.35,140.42,140.42,98765432,AAPL
2020-03-23,140.35,140.89,139.75,140.09,140.09,87654321,AAPL
2020-03-24,140.22,140.92,139.88,140.68,140.68,76543210,AAPL
2020-03-25,140.80,141.30,140.05,141.20,141.20,109876543,AAPL
2020-03-26,141.42,141.95,140.80,141.82,141.82,98765432,AAPL
2020-03-27,141.75,142.20,141.00,141.48,141.48,87654321,AAPL
2020-03-28,141.48,142.00,140.85,141.92,141.92,76543210,AAPL
2020-03-29,141.92,142.38,141.15,142.15,142.15,109876543,AAPL
2020-03-30,142.32,143.00,142.05,142.80,142.80,98765432,AAPL
2020-03-31,142.80,143.37,142.20,143.17,143.17,87654321,AAPL
