Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-05-01,137.91,138.33,135.55,137.32,137.32,96452000,AAPL
2020-05-02,137.35,137.68,136.21,136.69,136.69,87654321,AAPL
2020-05-03,137.00,137.45,136.22,136.94,136.94,76543210,AAPL
2020-05-04,137.25,137.82,136.60,137.12,137.12,109876543,AAPL
2020-05-05,137.15,137.68,136.85,137.28,137.28,98765432,AAPL
2020-05-06,137.40,137.85,137.10,137.50,137.50,87654321,AAPL
2020-05-07,137.65,138.18,137.40,137.88,137.88,76543210,AAPL
2020-05-08,137.85,138.32,137.60,138.10,138.10,109876543,AAPL
2020-05-09,138.10,138.55,137.90,138.28,138.28,98765432,AAPL
2020-05-10,138.35,138.78,138.05,138.55,138.55,87654321,AAPL
2020-05-11,138.50,139.05,138.30,138.75,138.75,76543210,AAPL
2020-05-12,138.70,139.15,138.40,138.92,138.92,109876543,AAPL
2020-05-13,138.95,139.38,138.65,139.15,139.15,98765432,AAPL
2020-05-14,139.20,139.62,138.90,139.35,139.35,87654321,AAPL
2020-05-15,139.35,139.78,139.05,139.58,139.58,76543210,AAPL
2020-05-16,139.60,140.05,139.30,139.85,139.85,109876543,AAPL
2020-05-17,139.80,140.22,139.50,140.02,140.02,98765432,AAPL
2020-05-18,140.05,140.48,139.75,140.28,140.28,87654321,AAPL
2020-05-19,140.30,140.72,140.00,140.45,140.45,76543210,AAPL
2020-05-20,140.50,140.92,140.20,140.70,140.70,109876543,AAPL
2020-05-21,140.75,141.18,140.45,140.88,140.88,98765432,AAPL
2020-05-22,140.90,141.32,140.60,141.10,141.10,87654321,AAPL
2020-05-23,141.15,141.58,140.85,141.28,141.28,76543210,AAPL
2020-05-24,141.30,141.72,141.00,141.50,141.50,109876543,AAPL
2020-05-25,141.55,141.98,141.25,141.68,141.68,98765432,AAPL
2020-05-26,141.70,142.12,141.40,141.92,141.92,87654321,AAPL
2020-05-27,141.95,142.38,141.65,142.08,142.08,76543210,AAPL
2020-05-28,142.10,142.52,141.80,142.30,142.30,109876543,AAPL
2020-05-29,142.35,142.78,142.05,142.48,142.48,98765432,AAPL
2020-05-30,142.50,142.92,142.20,142.75,142.75,87654321,AAPL
2020-05-31,142.80,143.22,142.50,142.92,142.92,76543210,AAPL
